Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x06_P2.54mm_Horizontal,1,Conn_01x12_Socket,
J10,CONN5_B05B-PASK_JST,1,XIAO_Rudder,
J11,PA_Connector_Pos_4Pin,1,XIAO_Under,
J2,PinSocket_1x04_P2.54mm_Vertical,1,BNO055,
J3,PinSocket_1x06_P2.54mm_Vertical,1,SD_0,
J4,PinSocket_1x04_P2.54mm_Vertical,1,GPS,
J5,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Socket,
J6,PinSocket_1x04_P2.54mm_Vertical,1,ICS,
J7,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J8,PinSocket_1x03_P2.54mm_Vertical,1,ICS,
J9,PA_Connector_Post_2Pin,1,SPK,
