Designator,Mid X,Mid Y,Rotation,Layer
C1,123.25,-79.71,90.0,top
C10,111.42,-85.565,90.0,top
C11,121.28,-87.635,90.0,top
C2,122.74,-92.085,90.0,top
C3,118.86,-90.02,90.0,top
C4,121.18,-85.13,270.0,top
C5,123.76,-82.95,270.0,top
C6,118.57,-83.44,0.0,top
C7,118.57,-82.3,0.0,top
C8,115.89,-82.75,0.0,top
C9,120.28,-82.645,90.0,top
J2,116.32,-79.25,270.0,top
R1,122.84,-86.31,90.0,top
R2,120.69,-90.905,90.0,top
R4,111.52,-90.88,270.0,top
R5,113.315,-82.77,0.0,top
U1,115.16,-92.4425,180.0,top
U2,114.84,-86.9875,270.0,top
U3,122.09,-82.915,270.0,top
Y1,119.29,-86.22,90.0,top
